brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Sarah Jessica Parker,Sarah Jessica Parker Ladies Lovely EDP Spray 6.7 oz Fragrances 5060426150678,"Violet, Leather, Pear, Citrus",27.25,US $27.25,3,3 available / 9 sold,9,"May 23, 2024 17:56:48 PDT","Brooklyn, New York, United States"
Jennifer Lopez,Miami Glow by J.LO Jennifer Lopez EDT Perfume for Women 3.4 oz New In Box,"Cardamom, Cypress, Peach, Ginger",23.68,US $23.68/ea,10,"More than 10 available / 1,576 sold",1576,"May 22, 2024 21:41:05 PDT","Hackensack, New Jersey, United States"
Thierry Mugler,Thierry Mugler Angel Womens EDP 3.4 oz Iconic Luxurious Scent New Sealed,"Leather, Lily, Pepper, Patchouli, Saffron",49.99,US $49.99/ea,6,6 available / 75 sold,75,"May 19, 2024 10:18:05 PDT","Detroit, Michigan, United States"
Lancôme,Lancome Tresor 3.4 oz EDP | Classic Women's Perfume Spray | New in Box,"Saffron, Oakmoss, Rose",42.99,US $42.99/ea,10,More than 10 available / 20 sold,20,"May 21, 2024 10:57:12 PDT","Ecorse, Michigan, United States"
Robert Piguet,Fracas De Robert Piguet  Edp Spray 3.4oz/100ml New & Unbox Authentic,"Chocolate, Grapefruit",99,US $99.00,5,5 available / 7 sold,7,"May 20, 2024 03:26:06 PDT","Congers, New York, United States"
Ouai,OUAI MELROSE PLACE EAU DE PARFUM 1.5ML NEW IN BAG,"Pepper, Jasmine, Apple, Cypress, Violet",7.99,US $7.99,10,More than 10 available / 73 sold,73,,"Hicksville, New York, United States"
Clinique,Aromatics Elixir By Clinique For Women. Body Smoother 6.7-Ounces,"Coconut, Cypress",23,US $23.00,,Last One / 102 sold,102,"May 23, 2024 09:53:48 PDT","Edison, New Jersey, United States"
Xerjoff,Xerjoff Casamorati Bouquet Ideale Eau de Parfum 3.4 Oz Spray Regular Size No Box,"Jasmine, Amber, Grapefruit, Citrus",99,US $99.00,,Last One / 11 sold,11,"May 17, 2024 08:03:39 PDT","Gobles, Michigan, United States"
Kate Spade,"Bloom by Kate Spade, 3.3 oz EDT Spray for Women","Coconut, Chocolate, Leather",34.36,US $34.36/ea,10,More than 10 available / 28 sold,28,"May 23, 2024 18:06:09 PDT","Edison, New Jersey, United States"
Lancôme,Idole by Lancome Eau de Parfum EDP Perfume for Women 2.5 oz New in Box,"Orange Blossom, Raspberry, Ginger, Pear",44.98,US $44.98,10,More than 10 available / 23 sold,23,"May 21, 2024 00:07:46 PDT","Houston, Texas, United States"
Unbranded,100ML Marc Jacobs Daisy by Marc Jacobs 3.4 oz EDT Perfume for Women New In Box,"Vetiver, Raspberry, Violet",42.88,US $42.88,10,More than 10 available / 34 sold,34,"May 23, 2024 09:11:02 PDT","College Point, New York, United States"
KENZO,Kenzo Jungle Elephant by Kenzo EDP For Women 3.4 oz / 100 ml *NEW IN BOX*,"Oud, Apple, Citrus",38.99,US $38.99,10,More than 10 available / 57 sold,57,"May 08, 2024 10:46:42 PDT","Miami, Florida, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette EDT Spray NEW!!,"Saffron, Cardamom, Chili, Musk, Amber",28.6,US $28.60/ea,10,10 available / 145 sold,145,"May 23, 2024 09:38:33 PDT","Hamtramck, Michigan, United States"
Jimmy Choo,Jimmy Choo Mini Set Gift Set Fragrances 3386460140898,"Vanilla, Lily, Musk, Amber",45.11,US $45.11,3,3 available / 15 sold,15,"May 23, 2024 05:10:19 PDT","Brooklyn, New York, United States"
Gianni Versace,VERSACE EROS POUR FEMME 3.3 / 3.4 oz EDP Perfume For Women New Tester,"Chili, Patchouli",50.07,US $50.07/ea,62,"62 available / 1,522 sold",1522,"May 16, 2024 23:26:08 PDT","Dallas, Texas, United States"
Zara,Zara Hello kitty Eau De Toilette 1.69 fl oz/50ml Perfume Fragrance Spray,"Clove, Oakmoss, Blackcurrant",24.99,US $24.99/ea,7,7 available / 3 sold,3,"May 21, 2024 05:41:29 PDT","Nashua, New Hampshire, United States"
Victoria's Secret,Victoria's Secret Bombshell Sundrenched Eau De Parfum 3.4 Fl Oz Edp Perfume New,"Rose, Lavender, Grapefruit, Coconut",59.99,US $59.99/ea,4,4 available,,,"Colorado Springs, Colorado, United States"
Al Wataniah,Nadine EDP Perfume By Al Wataniah 100 ML:🥇Hot New Super Rich Fragrance🥇,"Vetiver, Lily",34.95,US $34.95/ea,2,2 available / 16 sold,16,"Jul 22, 2023 17:43:51 PDT","San Diego, California, United States"
Ralph Lauren,Romance by Ralph Lauren 3.4 oz EDP Perfume for Women New In Box,"Amber, Citrus, Violet, Chili, Lavender",46.94,US $46.94,10,More than 10 available / 32 sold,32,"May 21, 2024 07:49:00 PDT","Centralia, Washington, United States"
J Lo,LIVE LUXE by JLO Jennifer Lopez 3.3 oz / 3.4 oz Perfume New Unboxed,"Oud, Rose, Raspberry, Cinnamon, Vanilla",17.99,US $17.99/ea,38,38 available / 549 sold,549,"May 08, 2024 22:56:12 PDT","Dallas, Texas, United States"
Calvin Klein,"Eternity Summer Daze by Calvin Klein, 3.3 oz EDP Spray for Women","Peach, Sandalwood, Jasmine, Raspberry, Amber",29,US $29.00/ea,5,5 available / 126 sold,126,"May 24, 2024 07:55:35 PDT","Edison, New Jersey, United States"
Juliette has a gun,2x Juliette has a gun not a perfume sample vial 1.7Ml/0.057floz each,"Leather, Amber, Chocolate",11.99,US $11.99/ea,2,2 available / 8 sold,8,,"Frederick, Maryland, United States"
Jo Malone,Jo Malone Tuberose Angelica Cologne Intense Women's Eau de 3.4 fl oz/100ml,"Ginger, Musk, Vanilla",86.99,US $86.99,3,3 available / 7 sold,7,"May 08, 2024 16:32:50 PDT","Las Vegas, Nevada, United States"
Yardley London,LILY OF THE VALLEY by Yardley London perfume for women EDT 4.2 oz New in Box,"Jasmine, Lavender, Apple",14.45,US $14.45/ea,22,22 available / 47 sold,47,"May 17, 2024 17:51:46 PDT","Branford, Connecticut, United States"
Narciso Rodriguez,Narciso Rodriguez for her 3.3 fl. oz. / 100 ml Eau de Parfum Women's Fragrances,"Coconut, Jasmine",50,US $50.00,2,2 available / 4 sold,4,"May 23, 2024 07:21:14 PDT","Huntsville, Texas, United States"
Pure Romance,Pure Romance- Dirty French Perfume Infused With Pheromones- new and sealed!,"Rose, Cedarwood, Orange Blossom, Jasmine, Apple",50,US $50.00,8,8 available / 271 sold,271,"Apr 08, 2024 18:05:53 PDT","Elberton, Georgia, United States"
Jo Malone,Jo Malone Amber & Patchouli Cologne Intense Spray Women's Eau de 3.4 fl oz/100ml,"Saffron, Violet",86.99,US $86.99,6,6 available / 4 sold,4,"May 08, 2024 16:32:50 PDT","Las Vegas, Nevada, United States"
GUESS,Guess Girl by Guess 3.4 oz EDT Perfume for Women New In Box,"Leather, Coffee, Cedarwood, Lily of the Valley",20.67,US $20.67/ea,,"Limited quantity available / 5,628 sold",5628,"May 21, 2024 07:25:02 PDT","Hackensack, New Jersey, United States"
Tous,Tous Touch by Tous for Women EDT 3.3 / 3.4 oz Tester with Cap,"Chili, Sandalwood, Vetiver, Lily of the Valley, Grapefruit",21.64,US $21.64/ea,31,31 available / 337 sold,337,"May 24, 2024 08:39:07 PDT","Dallas, Texas, United States"
AS SHOWN,J'adore Eau De Parfum 3.4 oz / 100 ml Spray For Women New In Box,"Blackcurrant, Sandalwood, Pear, Pepper, Grapefruit",59.99,US $59.99/ea,10,More than 10 available / 8 sold,8,"Apr 21, 2024 23:26:21 PDT","HongKong, Hong Kong"
Coach,Coach Love 3 oz EDP Perfume for Women New In Box,"Sandalwood, Rose",56.97,US $56.97,10,More than 10 available / 254 sold,254,"May 24, 2024 08:16:13 PDT","Hackensack, New Jersey, United States"
Donna Karan,Cashmere Mist by Donna Karan 3.4 oz / 100ml Women Eau de Parfum Brand New Sealed,"Coconut, Amber, Sandalwood",29.89,US $29.89/ea,10,More than 10 available / 339 sold,339,"May 22, 2024 08:57:12 PDT","Miles City, Montana, United States"
Perfumer's Workshop,Tea Rose by Perfumer's Workshop 4.0 / 4 oz EDT For Women New In Box,"Saffron, Cinnamon",13.76,US $13.76/ea,86,"86 available / 4,492 sold",4492,"May 23, 2024 08:44:07 PDT","Dallas, Texas, United States"
AS SHOWN,FLOROA Gorgeous Gardenia 3.3 oz / 100ml Eau De Perfume EDP for Women New In Box,"Chocolate, Coconut",49.99,US $49.99/ea,5,5 available / 69 sold,69,"May 23, 2024 18:39:24 PDT","New Jersey,United Stated, Hong Kong"
Burberry,"Burberry Goddess Eau de Parfum EDP Sample Spray .05oz, 1.5ml New in Card","Chocolate, Leather, Cinnamon, Cardamom",9.89,US $9.89,4,4 available / 103 sold,103,"May 24, 2024 00:32:58 PDT","Phillipsburg, New Jersey, United States"
Lattafa,YARA Rollon Perfume Oil By Lattafa 10 ML:🥇Hot New Oil Top Tier Bestseller🥇,"Cypress, Amber, Citrus, Lavender, Raspberry",11.99,US $11.99,,Last One / 423 sold,423,"May 01, 2024 22:06:13 PDT","San Diego, California, United States"
Boucheron,Boucheron by Boucheron 3.3 3.4 oz EDT Perfume for Women New In Box,"Coconut, Lily, Grapefruit",24.74,US $24.74/ea,10,"More than 10 available / 2,761 sold",2761,"May 24, 2024 08:00:03 PDT","Hackensack, New Jersey, United States"
As Show,J'adore Eau De Parfum  3.4 oz EDP Spray Gift For Women New Sealed 100 ml,"Vanilla, Cinnamon",71.41,US $71.41/ea,5,5 available / 27 sold,27,"May 20, 2024 07:43:07 PDT","California,United States, Hong Kong"
Yves Saint Laurent,Yves Saint Laurent Libre YSL Eau de Parfum Spray 3 fl oz for Women New With Box,"Blackcurrant, Orange Blossom, Ginger",59.99,US $59.99,4,4 available / 26 sold,26,"May 15, 2024 01:45:08 PDT","California or Hong Kong, Hong Kong"
Parfum,For J'adore D'eau 3.4 oz Eau De Parfums EDP Women Spray New In Sealed,"Clove, Oud, Rose",80.99,US $80.99,10,10 available / 4 sold,4,"May 21, 2024 18:00:06 PDT","New York,United States, Hong Kong"
Cacharel,Anais Anais L'Original by Cacharel 3.4 oz EDT Perfume for Women Brand New,"Chocolate, Vanilla, Cardamom, Grapefruit",24.04,US $24.04/ea,,Limited quantity available / 221 sold,221,"May 22, 2024 10:12:03 PDT","Hackensack, New Jersey, United States"
Juicy Couture,Couture Couture by Juicy Couture perfume for women EDP 3.3 / 3.4 oz New in Box,"Cinnamon, Cedarwood, Leather, Apple, Chili",28.68,US $28.68/ea,145,"145 available / 2,188 sold",2188,"May 18, 2024 21:20:10 PDT","Dallas, Texas, United States"
Jo Malone,Jo Malone Wood Sage & Sea Salt 1 fl oz No Box Eau de Cologne Spray Regular Size,"Patchouli, Chili, Citrus, Oud, Pear",34.99,US $34.99,3,3 available / 12 sold,12,"May 24, 2024 03:51:06 PDT","Minneapolis, Minnesota, United States"
Versace,Versace Ladies Versace Woman EDP Spray 1.7 oz (Tester) Fragrances 8018365250277,"Oakmoss, Pepper",15.99,US $15.99,3,3 available / 3 sold,3,"May 23, 2024 17:56:35 PDT","Brooklyn, New York, United States"
Burberry,Her by Burberry Elixir De Parfum 0.33oz/10ml Spray New With Box,"Cedarwood, Grapefruit, Apple, Oud, Lily",27.99,US $27.99,10,More than 10 available / 21 sold,21,"May 23, 2024 13:11:51 PDT","Long Island City, New York, United States"
Ariana Grande,Ariana Grande Cloud Pink 3.4oz EDP Women's Perfume New Sealed,"Jasmine, Citrus",29.99,US $29.99/ea,6,6 available / 11 sold,11,"May 24, 2024 09:47:02 PDT","Dearborn Heights, Michigan, United States"
Christian Audigier,ED HARDY Love & Luck by Christian Audigier 3.3 / 3.4 oz EDP For Women New in Box,"Vetiver, Pepper",20.25,US $20.25/ea,120,"120 available / 2,996 sold",2996,"May 22, 2024 23:48:45 PDT","Dallas, Texas, United States"
Clinique,"Clinique Calyx Exhilerating Fragrance Eau de Parfum Spray 1.7oz 50ml, New In Box","Cypress, Leather, Apple, Lily of the Valley",42,US $42.00,,Last One / 11 sold,11,"May 24, 2024 09:48:59 PDT","Camarillo, California, United States"
Sean John,Sean John Unforgivable Women's Body Mist 8 oz - Irresistibly Fresh Perfume Spray,"Rose, Grapefruit",6.99,US $6.99,,Last One / 6 sold,6,"May 14, 2024 10:01:30 PDT","Lincoln Park, Michigan, United States"
Jo Malone,Jo Malone Red Roses Cologne Intense Spray Women's Eau de  - 3.4 fl oz/100ml,"Cypress, Peach, Raspberry, Violet",79.99,US $79.99,4,4 available / 6 sold,6,,"Las Vegas, Nevada, United States"
Bvlgari,Omnia Coral by Bvlgari Omnia Coral 2.2 oz EDT Perfume for Women New In Box,"Cedarwood, Vanilla, Cardamom, Lily",32.88,US $32.88/ea,7,7 available / 36 sold,36,"May 19, 2024 18:40:40 PDT","California or Hong Kong, Hong Kong"
Versace,Versace Pour Femme Dylan Blue 3.4 oz EDP Perfume for Women New In Box,"Blackcurrant, Vetiver, Amber, Lavender, Raspberry",55.73,US $55.73/ea,10,10 available / 742 sold,742,"May 22, 2024 18:12:32 PDT","Hackensack, New Jersey, United States"
Elizabeth Arden,5TH AVENUE NYC by Elizabeth Arden Perfume Women 4.2 oz edp NEW IN BOX,"Jasmine, Peach, Lily of the Valley, Cypress",16.82,US $16.82/ea,38,38 available / 263 sold,263,"May 24, 2024 08:30:08 PDT","Dallas, Texas, United States"
Viktor & Rolf,Viktor & Rolf Flowerbomb Tiger Lily EDP 0.34oz/10ml. New In Box.,"Oakmoss, Cinnamon, Vanilla, Pear",26.99,US $26.99/ea,10,More than 10 available / 65 sold,65,"May 19, 2024 20:14:26 PDT","Princeton, New Jersey, United States"
Liz Claiborne,CURVE by Liz Claiborne 3.4 / 3.3 oz edt Perfume for women New in Can,"Lavender, Coffee",18.35,US $18.35/ea,67,"67 available / 1,926 sold",1926,"May 22, 2024 22:59:22 PDT","Dallas, Texas, United States"
Jo Malone,Jo Malone Perfume Sample Vials 1.5ml - Choose Your Scent Combined Shipping,"Oakmoss, Raspberry, Pepper, Lavender",4.95,US $4.95/ea,10,"More than 10 available / 3,954 sold",3954,"May 16, 2024 02:57:23 PDT","Pearland, Texas, United States"
Taylor Swift,Wonderstruck Enchanted ByTaylor Swift .17oz/5ml Edp Splash Mini  Same As Picture,"Peach, Oakmoss",19.9,US $19.90,,Last One / 41 sold,41,"Apr 23, 2024 19:45:31 PDT","New York, New York, United States"
Adam Levine,Adam Levine by Adam Levine 3.4 oz EDP Perfume for Women New In Box,"Leather, Saffron, Ginger",9.99,US $9.99/ea,10,More than 10 available / 44 sold,44,"Apr 29, 2024 12:26:17 PDT","Detroit, Michigan, United States"
Dolce&Gabbana,DOLCE & GABBANA Devotion Eau de Parfum Miniature Perfume in Box  .17 oz MINI,"Blackcurrant, Lily of the Valley, Leather, Vanilla, Clove",19.95,US $19.95,,Last One / 5 sold,5,,"Chatsworth, California, United States"
HERMÈS,Un Jardin Sur Le Toit by Hermes 3.3 oz EDT Spray for Women Eau de Toilette New,"Oud, Patchouli, Violet",49.99,US $49.99/ea,2,2 available / 25 sold,25,"May 21, 2024 04:13:49 PDT","HongKong, Hong Kong"
ALFRED SUNG,FOREVER by Alfred Sung for Women Perfume 4.2 oz New in Box,"Vanilla, Saffron, Sandalwood",16.93,US $16.93/ea,52,"52 available / 1,516 sold",1516,"May 21, 2024 22:29:07 PDT","Dallas, Texas, United States"
Versace,Versace Dylan Turquoise Eau de Toilette Travel Spray NIB 0.33 oz / 10 ml,"Oud, Amber, Orange Blossom, Grapefruit, Cardamom",19.99,US $19.99/ea,10,More than 10 available / 37 sold,37,"May 24, 2024 05:14:27 PDT","Chantilly, Virginia, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,"Clove, Cinnamon",29.95,US $29.95/ea,9,9 available / 9 sold,9,"May 24, 2024 05:54:50 PDT","Warren, Michigan, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue Summer Vibes Eau de Toilette Sample Spray 1.5ml New,"Violet, Sandalwood, Leather, Cedarwood",11.95,US $11.95/ea,10,More than 10 available / 73 sold,73,"May 17, 2024 03:46:05 PDT","Pearland, Texas, United States"
Zara,2 ZARA Red Temptation Spray  They Maybe Expired Strong Alcohol Smell NO RETURNS!,"Blackcurrant, Apple",15,US $15.00,5,5 available / 10 sold,10,"May 16, 2024 04:41:02 PDT","Somerset, Pennsylvania, United States"
Vera Wang,Flower Princess by Vera Wang for women EDT 3.3 / 3.4 oz New Tester,"Lavender, Blackcurrant",19.54,US $19.54/ea,19,19 available / 288 sold,288,"May 11, 2024 09:46:06 PDT","Dallas, Texas, United States"
Parfums de Marly,PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW in BOX & SEALED,"Citrus, Vanilla, Chocolate, Lavender, Oud",150,US $150.00,3,3 available / 1 sold,1,,"Rock Rapids, Iowa, United States"
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,"Blackcurrant, Cedarwood, Sandalwood, Peach",44.49,US $44.49/ea,9,9 available / 5 sold,5,"May 24, 2024 05:48:45 PDT","Warren, Michigan, United States"
AS SHOWN,Y*S*L Libre 3 oz / 90 ml EDP Perfume Spray for Women Gift for her New in Box,"Lavender, Patchouli",59.99,US $59.99/ea,5,5 available / 30 sold,30,"May 18, 2024 21:29:18 PDT","USA,California, Hong Kong"
Dolce&Gabbana,Light Blue by Dolce & Gabbana 3.3 oz Women's Eau de Toilette Spray New & Sealed,"Coffee, Lily of the Valley, Cedarwood, Vanilla",32.49,US $32.49/ea,10,More than 10 available / 226 sold,226,"May 24, 2024 08:10:07 PDT","Detroit, Michigan, United States"
Al Rehab,Choco Musk - Al-Rehab Eau De Spray Perfume (50 ml/1.65 fl. oz)-  PACK OF 2,"Peach, Oakmoss, Clove",14.9,US $14.90/ea,5,5 available / 5 sold,5,,"Katy, Texas, United States"
Jean couturier,CORIANDRE by JEAN COUTURIER for Women 30ml-1oz Eau de Toilette Spray (BQ22,"Violet, Ginger, Orange Blossom",21.95,US $21.95/ea,5,5 available,,,"Los Angeles, California, United States"
Victoria's Secret,"Bombshell by Victoria's Secret 3.4 Oz – Eau De Parfum Spray, Fresh & Sealed","Grapefruit, Clove, Apple, Pepper",33.99,US $33.99/ea,10,More than 10 available / 80 sold,80,"May 24, 2024 08:35:35 PDT","Dearborn, Michigan, United States"
Estée Lauder,BEAUTIFUL by Estee Lauder 2.5 oz edp Perfume for women New in Box,"Vanilla, Oakmoss",29.49,US $29.49/ea,10,More than 10 available / 458 sold,458,"May 24, 2024 06:47:33 PDT","Lincoln Park, Michigan, United States"
Chopard,Casmir by Chopard for Women - 3.4 oz EDP Spray,"Chocolate, Raspberry, Apple, Blackcurrant",31.23,US $31.23,50,50 available / 101 sold,101,"May 20, 2024 13:19:38 PDT","Ronkonkoma, New York, United States"
Versace,Mini Versace Eros Pour Femme 0.17 oz EDT Perfume for Women New In Box,"Chili, Oakmoss, Apple, Raspberry, Rose",8.98,US $8.98,6,6 available / 64 sold,64,"May 15, 2024 23:04:21 PDT","Hackensack, New Jersey, United States"
Versace,Versace Yellow Diamond Perfume for Women EDT 3.0 oz 90 ml New in Box,"Peach, Jasmine, Lily of the Valley",37.99,US $37.99/ea,10,More than 10 available / 147 sold,147,"May 20, 2024 11:17:49 PDT","Flat Lick, Kentucky, United States"
Givenchy,Givenchy Irresistible Rose Velvet 2.7 oz. Eau De Parfum Spray New in Sealed Box,"Lavender, Chili",43.99,US $43.99/ea,10,More than 10 available / 24 sold,24,"May 21, 2024 18:00:57 PDT","New York, New York, Taiwan"
CHANGE For Women,Chance Eau de Perfume Natural spray for women 3.4 oz/ 100 ml,"Citrus, Cardamom, Sandalwood, Apple",18.99,US $18.99,,Last One / 2 sold,2,,"Miami, Florida, United States"
Le Labo,Le Labo Santal 33 Eau de Parfum Sample Spray Vial .05 oz /1.5 ml  New authentic,"Leather, Cardamom, Patchouli",14.75,US $14.75,10,More than 10 available / 119 sold,119,"Apr 26, 2024 15:10:49 PDT","Los Angeles, California, United States"
Juicy Couture,Viva La Juicy Sucre by Juicy Couture 3.4 oz EDP Perfume for Women New In Box,"Lily, Chili, Vanilla, Apple",59.32,US $59.32,,Limited quantity available / 119 sold,119,"May 23, 2024 20:23:26 PDT","Hackensack, New Jersey, United States"
Creed,Creed Queen Of Silk Eau De Parfum EDP 2.5oz / 75ml New 2024,"Peach, Leather",285,US $285.00,8,8 available / 5 sold,5,"May 16, 2024 12:32:50 PDT","Brooklyn, New York, United States"
ASST,MOTHER'S DAY SALE DG YSL GUESS KENZO  BURBERRY ARMANI LACOSTE CACHERAL MOSCHINO+,"Cardamom, Grapefruit, Clove",13.37,US $13.37,92,92 available / 7 sold,7,,"Henderson, Nevada, United States"
Versace,Versace Bright Crystal 3.0 fl oz/90ml Eau de Toilette Spray for Women New In Box,"Pepper, Cedarwood",38.49,US $38.49/ea,10,More than 10 available / 81 sold,81,"May 11, 2024 10:02:14 PDT","Detroit, Michigan, United States"
Calvin Klein,CK Beauty by Calvin Klein 3.3 / 3.4 oz EDP Perfume for Women New In Box,"Cypress, Violet, Orange Blossom, Apple, Sandalwood",25.98,US $25.98/ea,10,"More than 10 available / 5,255 sold",5255,"May 23, 2024 17:00:31 PDT","Hackensack, New Jersey, United States"
Al-Rehab,Soft - Al-Rehab Eau De Natural Perfume Spray - 35 ml (1.15 fl. oz),"Citrus, Chili, Rose, Pepper, Vetiver",9.25,US $9.25,10,More than 10 available / 30 sold,30,"Apr 23, 2024 22:21:10 PDT","Princeton, New Jersey, United States"
Estée Lauder,Estee Lauder Bronze Goddess Skinscent Perfume Sample Spray 0.05 oz. / 1.5 ml New,"Ginger, Grapefruit",11.95,US $11.95/ea,3,3 available / 7 sold,7,"Apr 23, 2024 10:16:37 PDT","Louisville, Kentucky, United States"
Tiziana Terenzi,Atlantide by Tiziana Terenzi 1.5ml Vial Spray New Factory Sealed,"Cypress, Jasmine, Apple, Coconut",13,US $13.00,,Last One / 5 sold,5,"May 16, 2024 18:26:10 PDT","Fort Walton Beach, Florida, United States"
Juliette has a gun,Not a Perfume By Juliette Has A Gun Eau De Parfum Spray 3.3 oz 100ml For Women,"Coffee, Clove, Saffron, Citrus",42.99,US $42.99,10,More than 10 available / 32 sold,32,"May 01, 2024 13:23:39 PDT","Brooklyn, New York, United States"
HERMÈS,Un Jardin Sur La Lagune By Hermes EDT For Women 3.3 oz / 100 ml *NEW IN BOX*,"Cedarwood, Rose",67.99,US $67.99,10,More than 10 available / 110 sold,110,"Feb 15, 2024 10:19:30 PST","Miami, Florida, United States"
PRADA,PRADA CANDY BY PRADA 2.7 FL OZ EAU DE PARFUM SPRAY NEW & SEALED,"Amber, Citrus, Oud, Rose, Chocolate",44.99,US $44.99/ea,2,2 available / 114 sold,114,"May 14, 2024 05:39:26 PDT","Reinholds, Pennsylvania, United States"
ALFRED SUNG,TESTER SUNG * Alfred Sung * Perfume for Women * 3.4 oz * BRAND NEW,"Vetiver, Ginger",16.2,US $16.20/ea,10,"More than 10 available / 2,472 sold",2472,"May 24, 2024 10:11:44 PDT","Orlando, Florida, United States"
Lanvin,Eclat D'Arpege by Lanvin 3.3 / 3.4 oz EDP Perfume for Women New In Box,"Blackcurrant, Pear",31.41,US $31.41/ea,,"Limited quantity available / 5,107 sold",5107,"May 24, 2024 09:31:02 PDT","Hackensack, New Jersey, United States"
Ariana Grande,Ariana Grande Cloud PINK EDP - Dreamy Vanilla Scent 3.4oz Sealed,"Vetiver, Orange Blossom",29.99,US $29.99/ea,6,6 available / 9 sold,9,"May 22, 2024 10:58:18 PDT","Hamtramck, Michigan, United States"
Cacharel,Noa by Cacharel for Women Eau de Toilette Spray - 1 fl oz - SPRING SALE !,"Amber, Chili, Lily of the Valley, Lavender, Clove",20,US $20.00/ea,10,More than 10 available / 79 sold,79,"Apr 28, 2024 19:08:51 PDT","New York, New York, United States"
Tory Burch,Tory Burch Signature Eau de Parfum  0.2oz / 6ml  Rollerball  NEW,"Lily of the Valley, Chocolate, Saffron, Blackcurrant",19.95,US $19.95,4,4 available / 27 sold,27,"May 13, 2024 09:07:13 PDT","Fort Lauderdale, Florida, United States"
Jo Malone,Jo Malone English Pear & Freesia Cologne EDC Perfume for Women With Sealed Box,"Leather, Violet, Rose, Clove",49.99,US $49.99,7,7 available / 122 sold,122,"May 23, 2024 05:56:00 PDT","United States, Canada"
Jo Malone,Jo Malone Peony & Blush Suede Cologne Spray Women's Eau de  - 3.4 fl oz/100ml,"Leather, Cinnamon, Lavender, Rose, Oakmoss",79.99,US $79.99,9,9 available / 1 sold,1,"Apr 30, 2024 01:12:45 PDT","Las Vegas, Nevada, United States"
YSL,Yves Saint Laurent Black Opium Women's Perfume EDP 3.0 oz 90 ml Sealed New,"Chili, Coconut, Oud",45.99,US $45.99,,Last One / 27 sold,27,"May 24, 2024 00:07:54 PDT","Stuyvesant Falls, New York, United States"
Miraclelayer,Miraclelayer CETALOX  EDP 50ml (a real perfume),"Cinnamon, Coconut",27,US $27.00/ea,10,More than 10 available / 61 sold,61,"Jan 24, 2024 07:11:16 PST","Hicksville, New York, United States"
Ouai,OUAI North Bondi Eau de Parfume .34 oz/ 10ml - Brand New,"Oakmoss, Lily of the Valley, Clove, Oud",22.99,US $22.99/ea,7,7 available / 39 sold,39,"Mar 02, 2024 18:50:58 PST","Beverly Hills, California, United States"
Fragrance Couture,"""La Vida Bella  For Women Eau De Parfum By Fragrance Couture 3.4","Cinnamon, Pear, Vetiver",13.99,US $13.99/ea,10,More than 10 available / 34 sold,34,"May 10, 2024 16:05:14 PDT","Fort Lauderdale, Florida, United States"
Lancôme,La Vie Est Belle IRIS ABSOLU by Lancome 3.4 oz L'Eau de Parfum Spray New In Box,"Blackcurrant, Pear",61.99,US $61.99,4,4 available / 49 sold,49,"May 19, 2024 01:35:33 PDT","New Jersey, Hong Kong"
Parfums de Marly,PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW,"Vanilla, Peach, Blackcurrant, Ginger, Apple",99.99,US $99.99,2,2 available / 19 sold,19,"May 20, 2024 20:01:31 PDT","Jefferson, Texas, United States"
Valentino,New Valentino Donna Born In Roma Intense 3.4 oz EDP Intense Spray For Women,"Peach, Lavender",99.99,US $99.99,,Last One / 19 sold,19,"May 16, 2024 04:11:25 PDT","Amigo, West Virginia, United States"
Coach,"Coach New York Eau de Parfum, Perfume for Women .15 oz Mini, Splash","Pear, Clove",13.95,US $13.95,10,More than 10 available / 24 sold,24,"May 14, 2024 06:52:51 PDT","Tallman, New York, United States"
CHANEL,Chanel Coromandel Les Exclusifs Eau De Parfum Mini Splash Bottle 4ml NIB,"Coffee, Cardamom, Musk, Violet",31.95,US $31.95/ea,10,10 available / 196 sold,196,"Mar 01, 2024 17:52:52 PST","Pearland, Texas, United States"
Dolce & Gabbana,"Light Blue by Dolce & Gabbana, 3.3 oz EDT Spray for Women","Coffee, Raspberry, Chili, Violet, Amber",49.51,US $49.51/ea,10,More than 10 available / 635 sold,635,"May 23, 2024 21:14:46 PDT","Edison, New Jersey, United States"
One Direction,Our Moment by One Direction 3.4 oz / 100 ml Edp spy perfume for women femme,"Raspberry, Cypress, Orange Blossom",59.5,US $59.50/ea,10,More than 10 available / 3 sold,3,"May 23, 2024 10:17:11 PDT","Lynwood, California, United States"
Parfums de Marly,Valaya Parfums de Marly for women  2.5 oz/75 ml Eau de Parfum New In Box,"Apple, Orange Blossom, Lily of the Valley",99.99,US $99.99,2,2 available / 12 sold,12,"May 23, 2024 18:32:40 PDT","Jefferson, Texas, United States"
