brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Armaf,"ARMAF CLUB DE NUIT 3.4 OZ, EDP FOR WOMEN IN SEALED BOX","Lavender, Amber, Coconut, Apple, Cinnamon",29.45,US $29.45/ea,10,More than 10 available / 355 sold,355,"May 17, 2024 15:42:34 PDT","Houston, Texas, United States"
Dossier,Dossier FRUITY ALMOND Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,"Apple, Chocolate",20,US $20.00/ea,8,8 available / 22 sold,22,,"Los Angeles, California, United States"
Ariana Grande,Ariana Grande Cloud Pink Eau De Parfum 3.4 fl oz Spray Women's New And Sealed,"Oud, Rose, Citrus, Violet, Ginger",29.99,US $29.99/ea,2,2 available / 62 sold,62,"May 24, 2024 03:07:24 PDT","Montgomery, Alabama, United States"
Elizabeth Taylor,PASSION by Elizabeth Taylor 2.5 oz edt New in Box Sealed,"Amber, Lily",20.48,US $20.48/ea,48,48 available / 620 sold,620,"May 23, 2024 21:47:03 PDT","Dallas, Texas, United States"
Parfums de Marly,PDM PARFUMS DE MARLY VALAYA EDP 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE,"Lily of the Valley, Citrus, Peach",12,US $12.00,9,9 available / 29 sold,29,"May 16, 2024 10:36:11 PDT","Albany, New York, United States"
Clean,Clean Warm Cotton 2.14 oz EDP Perfume for Women Brand New Tester,"Violet, Raspberry, Clove, Apple",22.09,US $22.09,10,More than 10 available / 332 sold,332,"May 23, 2024 10:33:18 PDT","Hackensack, New Jersey, United States"
Juicy Couture,VIVA LA JUICY NOIR by Juicy Couture Perfume Women 3.4 oz edp 3.3 New in Box,"Apple, Cypress",34.38,US $34.38/ea,131,"131 available / 2,361 sold",2361,"May 24, 2024 07:38:07 PDT","Dallas, Texas, United States"
Juicy Couture,COUTURE LA LA Juicy Couture women perfume edp 3.4 oz 3.3 NEW IN BOX,"Chocolate, Apple, Cedarwood",24.24,US $24.24/ea,251,"251 available / 3,152 sold",3152,"May 23, 2024 09:26:07 PDT","Dallas, Texas, United States"
Giorgio Armani,Giorgio Armani My Way Parfum For Women 15ML/0.5fl.oz. New In Box & Sealed,"Citrus, Lily, Lavender, Chili",21.95,US $21.95/ea,10,More than 10 available / 8 sold,8,"May 15, 2024 17:11:57 PDT","Pompano Beach, Florida, United States"
Afnan,"Mystique Bouquet by Afnan, 2.7 oz EDP Spray for Women","Saffron, Patchouli, Blackcurrant, Clove, Pepper",39.89,US $39.89/ea,10,More than 10 available / 8 sold,8,"May 09, 2024 16:00:11 PDT","Dallas, Texas, United States"
